,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,69.8,83,59,6.91,ZA,1613193623
1,punta arenas,-53.15,-70.9167,53.29,66,90,18.41,CL,1613193623
2,vao,-22.6667,167.4833,79.66,74,15,7.65,NC,1613193624
3,finschhafen,-6.6024,147.8681,85.42,70,85,8.01,PG,1613193624
4,arraial do cabo,-22.9661,-42.0278,75.58,88,100,13.91,BR,1613193625
5,tuktoyaktuk,69.4541,-133.0374,-11.2,77,40,5.75,CA,1613193625
6,salalah,17.0151,54.0924,75.2,27,0,3.44,OM,1613193626
7,albany,42.6001,-73.9662,8.62,51,79,4.09,US,1613193626
8,thompson,55.7435,-97.8558,-38.2,67,1,2.3,CA,1613193626
9,hami,42.8,93.45,43.02,55,0,3.65,CN,1613193553
10,new norfolk,-42.7826,147.0587,66.34,42,75,3.0,AU,1613193477
11,butaritari,3.0707,172.7902,81.57,82,0,11.23,KI,1613193628
12,ushuaia,-54.8,-68.3,51.8,66,75,11.5,AR,1613193329
13,bambous virieux,-20.3428,57.7575,83.17,70,40,14.97,MU,1613193628
14,bluff,-46.6,168.3333,66.0,69,56,4.0,NZ,1613193628
15,chuy,-33.6971,-53.4616,70.02,92,100,9.19,UY,1613193503
16,yellowknife,62.456,-114.3525,-19.7,76,20,6.91,CA,1613193629
17,chokurdakh,70.6333,147.9167,-22.47,73,0,3.33,RU,1613193630
18,rikitea,-23.1203,-134.9692,79.59,77,9,12.3,PF,1613193561
19,kodiak,57.79,-152.4072,35.6,75,90,10.36,US,1613193630
20,hobart,-42.8794,147.3294,66.24,59,40,17.27,AU,1613193365
21,iqaluit,63.7506,-68.5145,-4.0,65,90,10.36,CA,1613193400
22,kaitangata,-46.2817,169.8464,64.0,78,49,4.0,NZ,1613193520
23,victoria,22.2855,114.1577,67.71,60,74,5.01,HK,1613193631
24,cape town,-33.9258,18.4232,62.11,88,0,5.75,ZA,1613193632
25,limao,7.0792,125.6736,89.6,62,75,8.05,PH,1613193633
26,atuona,-9.8,-139.0333,79.05,79,4,16.06,PF,1613193633
27,buckhaven,56.1715,-3.0338,28.36,56,74,7.0,GB,1613193633
28,lubu,23.1742,112.2809,73.99,99,0,2.33,CN,1613193634
29,cidreira,-30.1811,-50.2056,74.26,82,97,15.99,BR,1613193634
30,ust-koksa,50.2696,85.6108,8.76,87,90,1.34,RU,1613193635
31,kangaatsiaq,68.3065,-53.4641,6.28,88,36,6.2,GL,1613193636
32,dakar,14.6937,-17.4441,64.4,72,11,19.57,SN,1613193571
33,bogo,11.0517,124.0055,85.3,68,50,4.18,PH,1613193637
34,kavieng,-2.5744,150.7967,84.2,76,59,10.04,PG,1613193638
35,casa nova,-9.4167,-41.1333,78.8,57,0,13.8,BR,1613193638
36,camacha,33.0833,-16.3333,55.4,82,0,1.14,PT,1613193639
37,ulladulla,-35.35,150.4667,64.31,77,90,11.5,AU,1613193639
38,ahipara,-35.1667,173.1667,70.59,60,0,3.31,NZ,1613193640
39,barrow,71.2906,-156.7887,-9.4,77,90,3.96,US,1613193502
40,sitka,57.0531,-135.33,35.6,48,20,4.61,US,1613193640
41,hermanus,-34.4187,19.2345,73.0,78,0,7.0,ZA,1613193641
42,ribeira grande,38.5167,-28.7,60.87,78,100,29.95,PT,1613193642
43,tolaga bay,-38.3667,178.3,66.4,67,1,8.95,NZ,1613193642
44,kaeo,-35.1,173.7833,73.99,64,0,7.0,NZ,1613193642
45,avarua,-21.2078,-159.775,82.4,69,1,5.75,CK,1613193434
46,hofn,64.2539,-15.2082,39.52,82,100,19.01,IS,1613193643
47,hovd,48.0056,91.6419,11.32,84,16,3.58,MN,1613193643
48,mahebourg,-20.4081,57.7,84.2,70,40,14.97,MU,1613193432
49,busselton,-33.65,115.3333,81.97,37,0,5.79,AU,1613193644
50,hambantota,6.1241,81.1185,84.2,79,40,3.44,LK,1613193644
51,mataura,-46.1927,168.8643,66.0,69,66,4.0,NZ,1613193645
52,mersing,2.4312,103.8405,86.0,74,40,9.22,MY,1613193645
53,lompoc,34.6391,-120.4579,48.83,87,1,10.36,US,1613193645
54,carnarvon,-24.8667,113.6333,84.2,94,40,13.8,AU,1613193447
55,vaini,-21.2,-175.2,84.2,79,75,6.91,TO,1613193646
56,hohhot,40.8106,111.6522,44.6,23,75,6.71,CN,1613193646
57,faanui,-16.4833,-151.75,81.16,74,32,11.05,PF,1613193363
58,east london,-33.0153,27.9116,71.6,94,0,4.61,ZA,1613193356
59,naze,28.3667,129.4833,68.0,88,75,17.27,JP,1613193647
60,chauk,20.8833,94.8167,83.52,20,32,2.59,MM,1613193612
61,dikson,73.5069,80.5464,-26.1,87,98,11.39,RU,1613193387
62,caborca,30.5838,-111.101,59.0,51,40,5.01,MX,1613193647
63,butembo,0.15,29.2833,63.19,67,89,2.24,CD,1613193648
64,tasiilaq,65.6145,-37.6368,32.0,64,90,34.52,GL,1613193486
65,buin,-33.7333,-70.75,65.37,88,26,5.75,CL,1613193648
66,zhanakorgan,43.9098,67.2495,44.01,64,92,7.09,KZ,1613193648
67,cervo,43.6702,-7.4101,48.0,85,100,10.0,ES,1613193649
68,villamontes,-21.25,-63.5,68.99,72,33,3.56,BO,1613193649
69,upernavik,72.7868,-56.1549,-3.17,82,2,8.16,GL,1613193489
70,jamestown,42.097,-79.2353,13.75,79,1,6.91,US,1613193650
71,kailua,21.4022,-157.7394,73.56,73,75,6.91,US,1613193650
72,palmer,42.1584,-72.3287,21.79,49,90,3.44,US,1613193510
73,volchikha,52.0333,80.3833,-2.76,86,18,4.7,RU,1613193650
74,ambagarh chauki,20.7833,80.7167,82.78,25,23,4.47,IN,1613193651
75,aklavik,68.2191,-135.0107,-2.11,78,99,3.44,CA,1613193651
